FID,modern_name,day,month,year,Date_Notes,latitude,longitude,County,notes,Sources,Sou,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,Count,BekyntonMY,BekyntonYM,BekYMD
613,Taunton priory,24,9,1446,,51.018083,-3.098198,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1446,1446/9,1446/9/24
614,Taunton priory,9,6,1451,,51.018083,-3.098198,Somerset,Chapter-house of the priory,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1451,1451/6,1451/6/9
615,Thurloxton,22,4,1445,,51.069,-3.036,Somerset,Church of Thurlacston by the Prior and convent of Taunton,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,William Langton,,1,4/1445,1445/4,1445/4/22
616,Warmynstre,12,10,1446,,51.204061,-2.187459,Wiltshire,Bishop's inn at Warmynstre,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1446,1446/10,1446/10/12
617,Warmynstre,16,4,1448,,51.204061,-2.187459,Wiltshire,"Bishop's lodging in the dwelling house of Richard Page, of Warmynstre",,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1448,1448/4,1448/4/16
618,Wells,29,4,1445,,51.20235,-2.659788,Somerset,,notification to the bishop by the said Master John Bernard that the beneficied clergy of the diocese have agreed to pay - he was present?,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1445,1445/4,1445/4/29
619,Wells,7,5,1459,,51.20235,-2.659788,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1459,1459/5,1459/5/7
620,Wells Chapel,13,1,1452,,51.2101,-2.64639,Somerset,Chapel made by him immediately adjoining the presbytery in Wells cathedral,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master John Moreton,,Thomas Smyth,,William Edmond,,,,1,1/1452,1452/1,1452/1/13
621,Wells Chapel,15,1,1452,,51.2101,-2.64639,Somerset,Chapel made by him immediately adjoining the presbytery in Wells cathedral,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,notary-public,1,1/1452,1452/1,1452/1/15
622,Wells Chapel,24,7,1459,,51.2101,-2.64639,Somerset,Chapel of the Virgin Mary by the cloister of Wells cathedral,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1459,1459/7,1459/7/24
623,Wells Chapel,2,4,1446,,51.2101,-2.64639,Somerset,,,,,,,,,,,,,,,1,4/1446,1446/4,1446/4/2
624,Wells Chapel,16,4,1446,,51.2101,-2.64639,Somerset,Holy Saturday,,,,,,,,,,,,,,1,4/1446,1446/4,1446/4/16
625,Wells Chapel,23,3,1448,,51.2101,-2.64639,Somerset,Holy Saturday,,,,,,,,,,,,,,1,3/1448,1448/3,1448/3/23
626,Wells Chapel,24,4,1451,,51.2101,-2.64639,Somerset,Holy Saturday,,,,,,,,,,,,,,1,4/1451,1451/4,1451/4/24
627,Wells Chapel,8,4,1452,,51.2101,-2.64639,Somerset,Holy Saturday,,,,,,,,,,,,,,1,4/1452,1452/4,1452/4/8
628,Wells Chapel,5,4,1455,,51.2101,-2.64639,Somerset,Holy Saturday,,,,,,,,,,,,,,1,4/1455,1455/4,1455/4/5
629,Wells Chapel,27,3,1456,,51.2101,-2.64639,Somerset,Passion Sunday,,,,,,,,,,,,,,1,3/1456,1456/3,1456/3/27
630,Wells Palace,9,4,1444,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1444,1444/4,1444/4/9
631,Wells Palace,11,4,1444,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,John Touker,,1,4/1444,1444/4,1444/4/11
632,Wells Palace,12,4,1444,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,notary-public,1,4/1444,1444/4,1444/4/12
633,Wells Palace,9,10,1444,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1444,1444/10,1444/10/9
634,Wells Palace,8,9,1445,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1445,1445/9,1445/9/8
635,Wells Palace,3,1,1448,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1448,1448/1,1448/1/3
636,Wells Palace,11,8,1449,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1449,1449/8,1449/8/11
637,Wells Palace,12,8,1449,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1449,1449/8,1449/8/12
638,Wells Palace,8,9,1449,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1449,1449/9,1449/9/8
639,Wells Palace,1,10,1449,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1449,1449/10,1449/10/1
640,Wells Palace,1,10,1449,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1449,1449/10,1449/10/1
641,Wells Palace,3,10,1449,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1449,1449/10,1449/10/3
642,Wells Palace,4,10,1449,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1449,1449/10,1449/10/4
643,Wells Palace,23,10,1449,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1449,1449/10,1449/10/23
644,Wells Palace,24,10,1449,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1449,1449/10,1449/10/24
645,Wells Palace,5,4,1450,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1450,1450/4,1450/4/5
646,Wells Palace,6,4,1450,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1450,1450/4,1450/4/6
647,Wells Palace,9,4,1450,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1450,1450/4,1450/4/9
648,Wells Palace,18,4,1450,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1450,1450/4,1450/4/18
649,Wells Palace,19,4,1450,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1450,1450/4,1450/4/19
650,Wells Palace,20,4,1450,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,John of Wellis,,Master John Pope,"S.T.P., canon of Wells",Thomas Purviour,"B.A., canon of Wells",,"clerk, notary-public",1,4/1450,1450/4,1450/4/20
651,Wells Palace,20,4,1450,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1450,1450/4,1450/4/20
652,Wells Palace,22,4,1450,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1450,1450/4,1450/4/22
653,Wells Palace,22,5,1450,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1450,1450/5,1450/5/22
654,Wells Palace,23,5,1450,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1450,1450/5,1450/5/23
655,Wells Palace,26,5,1450,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1450,1450/5,1450/5/26
656,Wells Palace,26,6,1450,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1450,1450/6,1450/6/26
657,Wells Palace,4,8,1450,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1450,1450/8,1450/8/4
658,Wells Palace,7,8,1450,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1450,1450/8,1450/8/7
659,Wells Palace,8,8,1450,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1450,1450/8,1450/8/8
660,Wells Palace,11,8,1450,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1450,1450/8,1450/8/11
661,Wells Palace,13,8,1450,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1450,1450/8,1450/8/13
662,Wells Palace,17,8,1450,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1450,1450/8,1450/8/17
663,Wells Palace,22,8,1450,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1450,1450/8,1450/8/22
664,Wells Palace,23,8,1450,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1450,1450/8,1450/8/23
665,Wells Palace,13,9,1450,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1450,1450/9,1450/9/13
666,Wells Palace,15,9,1450,,51.20932,-2.64373,Somerset,,p. 152 possibly other actors present,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1450,1450/9,1450/9/15
667,Wells Palace,16,9,1450,,51.20932,-2.64373,Somerset,Bishop's chapel n Wells Palace,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1450,1450/9,1450/9/16
668,Wells Palace,1,5,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1451,1451/5,1451/5/1
669,Wells Palace,2,5,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1451,1451/5,1451/5/2
670,Wells Palace,3,5,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1451,1451/5,1451/5/3
671,Wells Palace,17,5,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1451,1451/5,1451/5/17
672,Wells Palace,13,6,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1451,1451/6,1451/6/13
673,Wells Palace,18,6,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1451,1451/6,1451/6/18
674,Wells Palace,9,7,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1451,1451/7,1451/7/9
675,Wells Palace,22,7,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1451,1451/7,1451/7/22
676,Wells Palace,21,8,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1451,1451/8,1451/8/21
677,Wells Palace,2,9,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1451,1451/9,1451/9/2
678,Wells Palace,16,9,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1451,1451/9,1451/9/16
679,Wells Palace,29,9,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1451,1451/9,1451/9/29
680,Wells Palace,3,10,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,John Wolley,"Literate, proctor of William Toly",Master John Pope,,Master Thomas Merssh,,,,1,10/1451,1451/10,1451/10/3
681,Wells Palace,22,10,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1451,1451/10,1451/10/22
682,Wells Palace,27,10,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1451,1451/10,1451/10/27
683,Wells Palace,25,10,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1451,1451/10,1451/10/25
684,Wells Palace,4,11,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master Thoms Merssh,Bachelor in both laws,Master Robert Peuesy,Bachelor in both laws,John Touker,"clerk, notary-public",,,1,11/1451,1451/11,1451/11/4
685,Wells Palace,6,11,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1451,1451/11,1451/11/6
686,Wells Palace,8,11,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1451,1451/11,1451/11/8
687,Wells Palace,9,11,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1451,1451/11,1451/11/9
688,Wells Palace,18,11,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1451,1451/11,1451/11/18
689,Wells Palace,20,11,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1451,1451/11,1451/11/20
690,Wells Palace,28,11,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1451,1451/11,1451/11/28
691,Wells Palace,29,11,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1451,1451/11,1451/11/29
692,Wells Palace,2,12,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,12/1451,1451/12,1451/12/2
693,Wells Palace,3,12,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,notary-public,1,12/1451,1451/12,1451/12/3
694,Wells Palace,8,12,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,12/1451,1451/12,1451/12/8
695,Wells Palace,12,12,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,12/1451,1451/12,1451/12/12
696,Wells Palace,14,12,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,12/1451,1451/12,1451/12/14
697,Wells Palace,19,12,1451,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,12/1451,1451/12,1451/12/19
698,Wells Palace,12,1,1452,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1452,1452/1,1452/1/12
699,Wells Palace,14,1,1452,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1452,1452/1,1452/1/14
700,Wells Palace,15,1,1452,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1452,1452/1,1452/1/15
701,Wells Palace,17,1,1452,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1452,1452/1,1452/1/17
702,Wells Palace,3,3,1452,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,John Machon,,Thomas Eustace,,William Langton,notary-public,,,1,3/1452,1452/3,1452/3/3
703,Wells Palace,21,3,1452,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,William Langton,,1,3/1452,1452/3,1452/3/21
704,Wells Palace,4,4,1452,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1452,1452/4,1452/4/4
705,Wells Palace,9,4,1452,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1452,1452/4,1452/4/9
706,Wells Palace,11,4,1452,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,William Langton,,1,4/1452,1452/4,1452/4/11
707,Wells Palace,12,4,1452,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Thomas Purviour,Canon of Wells,Thomas Horne,"Literate, of the diocese of Bath and Wells",John Touker,"clerk, notary-public",,notary-public,1,4/1452,1452/4,1452/4/12
708,Wells Palace,14,4,1452,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master Robert Modeford,"Proctor of Sir William Modeford, as rector of the church of Clowesworth",William Hornby,"Literate, of the diocese of Bath and Wells",Thomas Taylour,"Literate, of the diocese of Bath and Wells",,,1,4/1452,1452/4,1452/4/14
709,Wells Palace,17,4,1452,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1452,1452/4,1452/4/17
710,Wells Palace,21,4,1452,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1452,1452/4,1452/4/21
711,Wells Palace,22,4,1452,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1452,1452/4,1452/4/22
712,Wells Palace,28,5,1452,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1452,1452/5,1452/5/28
713,Wells Palace,4,6,1452,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,John Bosvile,,John Huchon,,William Langton,,William North,,1,6/1452,1452/6,1452/6/4
714,Wells Palace,6,6,1452,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1452,1452/6,1452/6/6
715,Wells Palace,10,6,1452,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1452,1452/6,1452/6/10
716,Wells Palace,11,6,1452,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1452,1452/6,1452/6/11
717,Wells Palace,1,9,1452,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1452,1452/9,1452/9/1
718,Wells Palace,29,11,1452,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1452,1452/11,1452/11/29
719,Wells Palace,1,12,1452,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,12/1452,1452/12,1452/12/1
720,Wells Palace,12,12,1452,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,12/1452,1452/12,1452/12/12
721,Wells Palace,14,12,1452,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,12/1452,1452/12,1452/12/14
722,Wells Palace,17,1,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1453,1453/1,1453/1/17
723,Wells Palace,21,1,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,Richard Erle,,1,1/1453,1453/1,1453/1/21
724,Wells Palace,23,1,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Thomas Purviour,Canon of Wells,William Kyng,Chaplain,John Touker,notary-public,,,1,1/1453,1453/1,1453/1/23
725,Wells Palace,24,1,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1453,1453/1,1453/1/24
726,Wells Palace,1,2,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,2/1453,1453/2,1453/2/1
727,Wells Palace,1,2,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,2/1453,1453/2,1453/2/1
728,Wells Palace,2,2,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,John Swetyng,,1,2/1453,1453/2,1453/2/2
729,Wells Palace,4,2,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,2/1453,1453/2,1453/2/4
730,Wells Palace,6,2,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,2/1453,1453/2,1453/2/6
731,Wells Palace,2,8,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1453,1453/8,1453/8/2
732,Wells Palace,18,8,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1453,1453/8,1453/8/18
733,Wells Palace,19,8,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1453,1453/8,1453/8/19
734,Wells Palace,20,8,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,John Trevenaunt,Clerk,John FitzJames,Esquire,John Austil,Esquire,,,1,8/1453,1453/8,1453/8/20
735,Wells Palace,24,8,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1453,1453/8,1453/8/24
736,Wells Palace,1,10,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1453,1453/10,1453/10/1
737,Wells Palace,9,10,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1453,1453/10,1453/10/9
738,Wells Palace,10,10,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1453,1453/10,1453/10/10
739,Wells Palace,12,10,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1453,1453/10,1453/10/12
740,Wells Palace,17,10,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1453,1453/10,1453/10/17
741,Wells Palace,20,10,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1453,1453/10,1453/10/20
742,Wells Palace,25,10,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1453,1453/10,1453/10/25
743,Wells Palace,27,10,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1453,1453/10,1453/10/27
744,Wells Palace,28,10,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1453,1453/10,1453/10/28
745,Wells Palace,31,10,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1453,1453/10,1453/10/31
746,Wells Palace,10,11,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1453,1453/11,1453/11/10
747,Wells Palace,12,11,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1453,1453/11,1453/11/12
748,Wells Palace,16,11,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1453,1453/11,1453/11/16
749,Wells Palace,30,11,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1453,1453/11,1453/11/30
750,Wells Palace,3,12,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,Literate,1,12/1453,1453/12,1453/12/3
751,Wells Palace,3,11,1453,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,Rector of Hardyngton,Thomas Horn,Literate,John Touker,notary-public,,,1,11/1453,1453/11,1453/11/3
752,Wells Palace,6,2,1454,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,2/1454,1454/2,1454/2/6
753,Wells Palace,7,2,1454,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,2/1454,1454/2,1454/2/7
754,Wells Palace,2,4,1454,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1454,1454/4,1454/4/2
755,Wells Palace,10,4,1454,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1454,1454/4,1454/4/10
756,Wells Palace,14,4,1454,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1454,1454/4,1454/4/14
757,Wells Palace,27,4,1454,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Richard Chocke,,John Austil,,John Fitz James,,,,1,4/1454,1454/4,1454/4/27
758,Wells Palace,11,5,1454,,51.20932,-2.64373,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,notary-public,1,5/1454,1454/5,1454/5/11
